constructorId,constructorRef,name,nationality,url,color
42,"coloni","Coloni","Italian","http://en.wikipedia.org/wiki/Enzo_Coloni_Racing_Car_Systems","#0074D9"
44,"eurobrun","Euro Brun","Italian","http://en.wikipedia.org/wiki/Euro_Brun","#0074D9"
45,"osella","Osella","Italian","http://en.wikipedia.org/wiki/Osella","#0074D9"
46,"onyx","Onyx","British","http://en.wikipedia.org/wiki/Onyx_(racing_team)","#0074D9"
47,"life","Life","Italian","http://en.wikipedia.org/wiki/Life_(Racing_Team)","#0074D9"
48,"rial","Rial","German","http://en.wikipedia.org/wiki/Rial_%28racing_team%29","#0074D9"
49,"zakspeed","Zakspeed","German","http://en.wikipedia.org/wiki/Zakspeed","#0074D9"
50,"ram","RAM","British","http://en.wikipedia.org/wiki/RAM_Racing","#0074D9"
51,"alfa","Alfa Romeo","Swiss","http://en.wikipedia.org/wiki/Alfa_Romeo_in_Formula_One","#0074D9"
52,"spirit","Spirit","British","http://en.wikipedia.org/wiki/Spirit_(racing_team)","#0074D9"
53,"toleman","Toleman","British","http://en.wikipedia.org/wiki/Toleman","#0074D9"
54,"ats","ATS","Italian","http://en.wikipedia.org/wiki/ATS_(wheels)","#0074D9"
55,"theodore","Theodore","Hong Kong","http://en.wikipedia.org/wiki/Theodore_Racing","#0074D9"
56,"fittipaldi","Fittipaldi","Brazilian","http://en.wikipedia.org/wiki/Fittipaldi_%28constructor%29","#0074D9"
57,"ensign","Ensign","British","http://en.wikipedia.org/wiki/Ensign_%28racing_team%29","#0074D9"
58,"shadow","Shadow","British","http://en.wikipedia.org/wiki/Shadow_Racing_Cars","#0074D9"
59,"wolf","Wolf","Canadian","http://en.wikipedia.org/wiki/Walter_Wolf_Racing","#0074D9"
60,"merzario","Merzario","Italian","http://en.wikipedia.org/wiki/Merzario","#0074D9"
61,"kauhsen","Kauhsen","German","http://en.wikipedia.org/wiki/Kauhsen","#0074D9"
62,"rebaque","Rebaque","Mexican","http://en.wikipedia.org/wiki/Rebaque","#0074D9"
63,"surtees","Surtees","British","http://en.wikipedia.org/wiki/Surtees","#0074D9"
64,"hesketh","Hesketh","British","http://en.wikipedia.org/wiki/Hesketh_Racing","#0074D9"
65,"martini","Martini","French","http://en.wikipedia.org/wiki/Martini_(cars)","#0074D9"
66,"brm","BRM","British","http://en.wikipedia.org/wiki/BRM","#24693D"
67,"penske","Penske","American","http://en.wikipedia.org/wiki/Penske_Racing","#0074D9"
68,"lec","LEC","British","http://en.wikipedia.org/wiki/LEC_(Formula_One)","#0074D9"
69,"mcguire","McGuire","Australian","http://en.wikipedia.org/wiki/McGuire_(Formula_One)","#0074D9"
70,"boro","Boro","Dutch","http://en.wikipedia.org/wiki/Boro_(Formula_One)","#0074D9"
71,"apollon","Apollon","Swiss","http://en.wikipedia.org/wiki/Apollon_(Formula_One)","#0074D9"
72,"kojima","Kojima","Japanese","http://en.wikipedia.org/wiki/Kojima_Engineering","#0074D9"
73,"parnelli","Parnelli","American","http://en.wikipedia.org/wiki/Parnelli","#0074D9"
74,"maki","Maki","Japanese","http://en.wikipedia.org/wiki/Maki_(cars)","#0074D9"
75,"hill","Embassy Hill","British","http://en.wikipedia.org/wiki/Hill_(constructor)","#0074D9"
76,"lyncar","Lyncar","British","http://en.wikipedia.org/wiki/Lyncar","#0074D9"
